,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t,z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
0,3.867279046645346,3.970928389507473,3.2120697404251435,3.35699353602245,1.0296954784093433,-1.0763513883667266,-0.4678316261940018,0.23042886699453757,0.672464413258039,-0.08879781009601978,0.06901821245277444,0.26891214818422143,-0.021683622947809983
1,3.776330113815473,3.995390580554172,3.263393075210379,3.3809404721738203,1.0283125860654392,-1.0962856336385223,-0.500108972167097,0.2167296847592524,0.6689249131378551,-0.11751032731626151,0.04656029990468675,0.2941965889114873,0.006084022933032895
2,3.8220148348454805,3.8995488669460316,3.2126144530070158,3.3403602756175435,1.0597325201326389,-1.08526765961987,-0.5024067547062987,0.19893894428744188,0.6903258441884577,-0.07806503957730504,0.0810994888972151,0.291871850292985,0.03996834608365146
3,3.832606449954922,3.7702013860252634,3.2175528271313065,3.329086811137705,1.0436233597680584,-1.0584769903234015,-0.4809273750126181,0.25838698816132233,0.6777200773751096,-0.09399201706051333,0.14147199849789208,0.3309203300241162,-0.003254868731117272
4,3.8819554596320454,3.8598296741699207,3.27917239958668,3.3999218375971596,1.0554408541983986,-1.056614747709654,-0.47888709513734184,0.24213174231049467,0.6612103559797307,-0.12220555483306614,0.1020722678786978,0.24875901959395882,-0.02998749418205722
5,3.8191480785403584,4.0010723148087335,3.302765865884056,3.4307095837596293,1.0448246191088029,-1.137971122763743,-0.4872370864445322,0.24120027974628855,0.6709363443046064,-0.08317227878254926,0.1369949131040683,0.283288007942765,0.014996731232820165
6,3.875922702431012,3.893727281748563,3.2167690890341953,3.35974569733668,1.0527656683925484,-1.095492757382285,-0.4871625057714093,0.22901642158969454,0.6701563643623537,-0.08302612482010739,0.11052927275992885,0.2958660929850153,-0.009421075861447928
7,3.8855542831579766,3.908489544093329,3.2448301765439562,3.3725888813586975,1.0055468919115458,-1.0936840897839586,-0.4860458413950005,0.24385473000133812,0.6720252626831125,-0.04202763640936605,0.10768131393841124,0.2951908071959779,-0.026448112378003236
8,3.896448769406872,3.9066232971522186,3.19808547290029,3.354081840638978,1.064538891364751,-1.1324740681210341,-0.4985502376903906,0.2547125810123536,0.6730898743417498,-0.1186903686818201,0.1420101483368501,0.3184556283615846,-0.049572086632180934
9,3.7348263110503184,3.8746908981109445,3.304317935361955,3.3813818081661378,1.0678967368398404,-1.143934452370468,-0.4944616101817863,0.24499648593902057,0.6597624538585293,-0.19341240609101762,0.19053614408676678,0.24991355484917716,-0.035814861972191775
