,a(full violation),a(no violation),a(purpose violation),a(text violation),v,t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
0,3.268473828226558,3.4441069261938813,2.955192773881727,3.0747572769949185,-0.09167387416477944,1.0820776408135793,0.9969034794484513,0.9040431130920752,1.0787854940904071,1.0636549700520257,-0.9159791112644576,-0.2212940708715579,0.4200473311281132
1,3.374337843302377,3.3335988705456043,2.9414801396146975,3.0980803038368596,-0.08751894032611753,1.0861900459912794,0.986227608815228,0.9152433864065568,1.0859954454488863,1.0931029553067453,-0.9318636196258825,-0.20750137252309128,0.44448863515422454
2,3.3140037114331724,3.346656763519947,2.937124509185133,3.0932536955091194,-0.0733008158817343,1.0942383454244367,1.000249620296184,0.9389960828684007,1.0749277898206668,1.0940825657506401,-0.9560264377016331,-0.23972220757321,0.4535823797634269
3,3.335939278469493,3.363205813343895,2.9186560335219545,3.1302373939134265,-0.08280595218720892,1.0838670396579306,0.9947078112979513,0.9324518460833746,1.0248136685683713,1.06136805391175,-0.8814193071246929,-0.24455148464095447,0.3691000942526327
4,3.4058438684439487,3.31764179550332,2.9583276622344217,3.0797072286679343,-0.07715040390062433,1.0936880739042956,0.9875879794284186,0.9172703916747856,1.0856027006553641,1.1395196276560629,-0.9442541804288572,-0.22809153136898802,0.4427748582439112
5,3.3087808796142317,3.399903493031947,2.9237127030072347,3.1002113029836957,-0.10440292138359426,1.0844491873920994,0.9939955490907406,0.9285888132128536,1.0731960555632707,1.0859003990677694,-0.9158218802427031,-0.17333092604788314,0.4458725391710652
6,3.3487264727789907,3.3195900029641137,2.8581373976861926,3.1346815654759896,-0.06992436019624648,1.0918879449975565,1.0015822678411817,0.9484047412813515,1.0388332534000415,1.0808975125118712,-0.9142839783563689,-0.21925501702185257,0.43951099280612116
7,3.3424605596857075,3.3577500577393953,2.9596514003899705,3.0316340481616955,-0.08183249773914358,1.0898338925507811,0.9811167391307876,0.9344125661874491,1.0994211026969625,1.0973731432958396,-0.9099876402949358,-0.21550701252525317,0.4298353383111007
8,3.3516132423549756,3.4209855478549986,2.9295655938481686,3.1539780905690726,-0.09488060029198785,1.090263138423954,0.9802400292014821,0.9029463269311327,1.0315330576182185,1.11282982969657,-0.9429448986091543,-0.23320794619262572,0.450965295059906
9,3.4107835667571047,3.248992999683934,2.976932556119818,3.085720469813069,-0.0773202372229169,1.0874507258590391,1.012035411479443,0.8973170926781182,1.0388702959575549,1.1225082006227436,-0.9275521576594045,-0.2610927856839316,0.3955514035451014
10,3.367359075851548,3.4057018865501347,2.884143758114652,3.1575514573335184,-0.07025425197028937,1.0887120479657775,0.9969818940897465,0.9365922433860441,1.0423027179594349,1.0749371010080435,-0.9655242847387423,-0.20955703480545815,0.4658970973087162
