Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687928e143e9bc1921c457c0,67558204d75dd7351fe9d17e,APPROVED,Not Applicable,2025-07-17T16:52:44.367000Z,2025-07-17T17:12:02.483000Z,2025-07-18T06:27:57.731000Z,2025-07-17T17:12:03.662768Z,1159.0,CF0W83XX,847,"English, Spanish",62,Female,Other,United States,United States,United States,English,DATA_EXPIRED,Part-Time
68793fb9c235b78429d4eecf,62a74fec726aac54b9e43d75,APPROVED,Not Applicable,2025-07-17T18:24:00.403000Z,2025-07-17T18:38:08.212000Z,2025-07-18T06:27:34.092000Z,2025-07-17T18:38:09.460089Z,848.0,CF0W83XX,6199,English,66,Male,Mixed,United States,United States,United States,English,No,Part-Time
6879025d616a701c0f47c4ea,5d617ba9364f9a0019f1dac3,RETURNED,Not Applicable,2025-07-17T14:02:05.853000Z,,,,,,10920,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68790261647510523b98d718,5ed0091bd374190b9b04045d,RETURNED,Not Applicable,,,,,,,6727,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879027020976cdbb4a774c8,62e97dfea1a1ef00cb9f0b10,RETURNED,Not Applicable,2025-07-17T14:02:27.530000Z,,,,,,7291,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687902b52e810233dace3308,60dfd857e293a99dd577f4c8,RETURNED,Not Applicable,2025-07-17T14:03:44.599000Z,,,,,,9774,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687902c8e8a08ab237a1e2fd,67709b0a96dcc9c2a7b0a06e,TIMED-OUT,Not Applicable,2025-07-17T14:03:52.196000Z,,,,59065.0,,890,English,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
687903156701072f41d65efa,60d1429992c4cb380dd59b15,RETURNED,Not Applicable,2025-07-17T14:05:15.320000Z,,,,,,1808,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879032f76ba58f55c40cbd9,66ba1b5273949100f8de1c0e,RETURNED,Not Applicable,2025-07-17T14:12:26.013000Z,,,,,,1240,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903457069e8d65c690f81,67dfd8ab14f390a33fc26c3a,RETURNED,Not Applicable,2025-07-17T14:13:26.125000Z,,,,,,68,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68790366b29f7eaa6ba7874c,67ab317d4245c4e2b33e2753,RETURNED,Not Applicable,2025-07-17T14:07:11.543000Z,,,,,,1873,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879039c1ec48ec3d6bb5f23,673598f71d2a6e206d51e38d,RETURNED,Not Applicable,2025-07-17T14:07:30.977000Z,,,,,,827,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903a3c550fdb58b94c8d3,5e07a94db7b33010fe2af9b4,RETURNED,Not Applicable,2025-07-17T14:07:40.924000Z,,,,,,8131,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903a8abc61952062a891f,666b5817eadabfbefc40fe1b,RETURNED,Not Applicable,2025-07-17T14:07:46.243000Z,,,,,,1986,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903b92065bcb711d8933b,680e77f1b497bfe3d4df3514,RETURNED,Not Applicable,2025-07-17T14:08:05.813000Z,,,,,,1068,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
