,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans
0,6.691195681977649,5.046305554496826,3.077327318562525,3.102174082970664,1.3819772894438205,-1.2973438843170124,-0.45408305209982125,0.16733112542866782,0.2628613978678494,0.3836386645079336,0.8364689850800501,0.9738699556001709,0.1688805047447271
1,6.601492627593562,4.946908453123074,3.026809617113761,3.1542549828644133,1.364235045284199,-1.2792952059186011,-0.42502166041839606,0.15669161136230483,0.2784535424420417,0.3981683443474497,0.8447958267865581,0.9631632836362634,0.1664986993035576
2,6.704355416948967,5.059932113030925,3.044426532456656,3.1465304112681776,1.3643010241302684,-1.2807341509629402,-0.4557325097445588,0.16648987045618216,0.26762149685474235,0.362486029677305,0.8606830705977974,0.9734127840834793,0.1752440231607001
3,6.426317776875527,5.057700634783681,3.1098381679109686,3.1175923834538026,1.315591954797855,-1.2792933809763052,-0.4466455455144298,0.17851872018886725,0.29766895167518664,0.38823984497211017,0.8360006295602168,0.961891211821052,0.15407489420180212
4,6.426073294541528,5.042918384272085,3.1192093662114297,3.1655225992522746,1.3179569230561632,-1.2966014710592,-0.4677927632732204,0.15725655540868827,0.30698979245003666,0.3490031811988534,0.8118159808668828,0.9786403674846668,0.19687706152327386
5,6.523354159942907,4.960874542513317,3.082658761983135,3.126705918614413,1.3355351083759748,-1.2666312612330808,-0.48945654035864694,0.16573993244730395,0.3158278795814089,0.3846533442010877,0.7982033292746057,0.9791172843453987,0.19497202432555494
6,6.591183471338152,4.96589914500135,3.044527248752994,3.1051438973944805,1.331672203304816,-1.2764368222415339,-0.4539394707199468,0.1707980356027667,0.26954692013571735,0.36163371667407995,0.8318688213787867,1.0044600796521277,0.1899817970919709
7,6.447251482069939,4.945645494245873,3.097622686037167,3.143855574500232,1.3270614771787557,-1.2672466301721153,-0.46263494240122627,0.16254665151297581,0.2838753455329404,0.39260317485131585,0.8160520778346514,0.9389628230573777,0.1663911086914756
8,6.4882687952543465,4.789434444064832,3.0754477544205194,3.1035231203620675,1.3663949280487913,-1.2547714538066401,-0.4554808846284456,0.1652392016012826,0.30810157142194095,0.4178170275008541,0.8580373374927328,0.9813573961440573,0.17453863674169878
9,6.58008927365293,4.63396687949468,3.0853173281903388,3.1300577085686707,1.350862238031571,-1.20879816466048,-0.48156535190143496,0.17842040424295763,0.2692747051444355,0.4760825585314597,0.8277065973370453,0.9654538556525651,0.16673344539174484
10,6.844333355507255,4.432400607316163,3.061504478521445,3.1575758702575314,1.3492060254489218,-1.1847856766496148,-0.459053361255933,0.1708649352539545,0.23729331634559828,0.49347029949904225,0.8393450659077929,0.9748021730580464,0.18247053792860352
11,6.763090262369121,4.414780565245903,3.0678842800930353,3.134343239095069,1.3391754665945028,-1.211107870430652,-0.4637054976607498,0.16816692929272853,0.25599801714804105,0.46801551868347463,0.8323778152560183,0.9636360813695841,0.202755769179148
12,6.814851855500642,4.472190944754773,3.069570399258942,3.1295238206474703,1.3443712974769113,-1.1881177590176792,-0.4898727067712952,0.16697192996623644,0.21637254600731487,0.48026022674100904,0.8235079237214565,0.9471501824110453,0.19106515400419963
13,6.677002107228331,4.646108549204876,3.075236379240002,3.1338895474209263,1.3494882923107525,-1.2436556885007182,-0.4532923239091681,0.16315278222424867,0.2618710781307651,0.44444972417159356,0.8415933420031307,0.9727190499674829,0.1903281357264489
14,6.865773900408349,4.593821373480797,3.107274350401471,3.1061701757987725,1.3742777371571961,-1.186821609703282,-0.47453369826741454,0.1520871132764494,0.25052636223000285,0.42603663817289855,0.8170885296539864,0.9701848033478422,0.19765056507812861
15,6.916799479456414,4.808498647401352,3.0354558902422633,3.161569861026828,1.3831959570632262,-1.2077867165298921,-0.4483923831108222,0.1898590157942815,0.20475986938956175,0.3942535239627297,0.8456837509712994,0.9387704254288879,0.14111454478596558
16,6.969159606919538,4.823842798738682,3.0377681514474397,3.1659460561755286,1.3953898954781732,-1.2440786001467743,-0.460479025000567,0.1793558385874653,0.21311363862672325,0.4239027210428854,0.8401230553275087,0.9469290110182959,0.1658657723504664
