"condition","rt_comply","rt_punishment","rt_violate","resp_comply","resp_punishment","resp_violate"
"no violation",2266,2318,2245.5,0.922840559918061,0.0441125390760681,0.0418424753867792
"purpose violation",2710,2906,2658,0.731965811965812,0.470877192982456,0.263008849557522
"text violation",2940,3127,2998.5,0.280360860513532,0.411372411372411,0.653518123667377
"full violation",2253,2377.5,2213,0.0658478335039236,0.915107415107415,0.938667606626718
