,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
0,4.8039319169533465,4.675097211457255,3.078856810987551,3.1176878517274687,1.2985987154445358,-1.3183447528772354,-0.46447757772004766,0.21814052901521314,0.26812937237484386,0.31788611921393767,0.8394023386859945,0.9561069110949919,-0.467405009619382,0.5033356135741791,0.230774859082505,0.02484663322465789
1,4.756883210360779,4.701595017738013,3.035834808967398,3.149882230933139,1.3024963706298183,-1.3189604512269217,-0.47046016439265803,0.19095699923718423,0.30431663005276804,0.2828752367001647,0.853528561457091,0.9324784410541672,-0.4553952467701968,0.49870269356961394,0.2269723619542004,0.08011528871127518
2,4.828699998724771,4.6431240227600155,3.0519459170628704,3.158783122700058,1.2817999103654685,-1.3222772706617267,-0.4954116717163996,0.23590114276702762,0.26355347332538315,0.32281483806264566,0.8340143460917042,0.9413028155175922,-0.45502135323027565,0.47777881499632985,0.2608959398220215,0.08386597260582171
3,4.775690804675792,4.536954399788042,3.0951474224114213,3.148822407442346,1.3194772994421367,-1.327492308099816,-0.46156180196650926,0.22482338667582036,0.30225839150129336,0.3572955588195077,0.8275826956572836,0.9415478772832636,-0.45198127128421695,0.5404960639588401,0.20153528975076082,0.046871227367262486
4,4.711820594663338,4.754044749562122,3.09013048888738,3.1784843091677675,1.2696871131648975,-1.3249861137258416,-0.484651864259184,0.22978631021388699,0.28786049109174644,0.305310327658092,0.816279883666128,0.9461014269115149,-0.4280304464056467,0.4427657692530528,0.2198229610953435,0.08215389309776255
5,4.442147744894115,4.677641854873772,3.0735550827476277,3.0904813124125368,1.2111074592362399,-1.3222314007857299,-0.4754698084310881,0.18535535294248354,0.35139942872199587,0.32070653461228643,0.8417236022138916,0.9606408386938918,-0.43394058170283495,0.4625461655764367,0.18854130672046773,0.11437343420903574
6,4.40872697083523,4.64809973508509,3.103633427630663,3.130226449350477,1.2338685071725248,-1.2956173032955653,-0.5086069674645258,0.1982608718176233,0.39501213943749414,0.3407675981863782,0.8337001229145743,0.9658847638742792,-0.40145288847461724,0.4326645421008312,0.17864294737860442,0.10609770463413784
7,4.427512987598991,4.519101841740743,3.042362898542385,3.1253903808364445,1.2279949460792312,-1.3063886533940319,-0.43959519933494673,0.17192659542002783,0.36703526301440603,0.3502827312438919,0.8678685997835006,0.9337742511239977,-0.4571885455132128,0.5190911775300214,0.1614571582422418,0.10359806927093033
8,4.553346065156376,4.52883432186043,3.163498828621197,3.081253728711788,1.2527041475142284,-1.2607069759694982,-0.4760200745982508,0.17743385524609856,0.3533989280601113,0.3529022712434372,0.7915232514689949,0.937786507405542,-0.43691062358255567,0.448091529077558,0.2624733202608208,0.06290894639008993
9,4.471934912616267,4.407295298667502,3.0514449329510263,3.1556374143013843,1.254568300298386,-1.2746781275667909,-0.42777729559474054,0.17922929419764566,0.37111864489240076,0.3744550081293718,0.8446446616140757,0.9394847314237549,-0.45325820827560886,0.4754831632772945,0.17687866356804155,0.07469368605294885
10,4.434739740543267,4.501615225201869,3.12139811510026,3.140702636605404,1.240839850116885,-1.2854792360266778,-0.48205074687462535,0.2098884364477212,0.3886777700477017,0.35527862574121855,0.8099521410692097,0.9675026928216292,-0.45025836598067603,0.460802394728022,0.2599713841949356,0.08180961925216018
11,4.536438056029552,4.491982951477014,3.0687358471546724,3.1014704783642584,1.2034701652011894,-1.2306611331898496,-0.4591134416649365,0.21124388835851804,0.38351175871607,0.38596152718766497,0.8484505455680857,0.9457286792646564,-0.30510177707617936,0.3475345248348423,0.19613397728735224,-0.011534285749409061
12,4.516610459376593,4.458294704018919,3.099459054579388,3.1751640331479,1.205095834145185,-1.2716684057766803,-0.4517950084403188,0.2032800704096578,0.43167588193748796,0.39570360006901334,0.8249840248922289,0.9372868905801791,-0.2818711851132826,0.41980758909271626,0.20860454305806012,0.11886463319068027
13,4.415188007035904,4.3874650742442105,3.106210477764282,3.148901009810732,1.2086884583939366,-1.2889114093607275,-0.47787795662645455,0.1936158578217576,0.4029567810287308,0.3838975758734956,0.8174274574803595,0.9356233141568557,-0.36835752163166946,0.4730745303677138,0.2076689905708432,0.01999580138581948
14,4.37908487641566,4.347186986989975,3.018230787997683,3.160106768805734,1.203004637733478,-1.2692321492931085,-0.44620764307265304,0.21072717719036999,0.43213884095391303,0.40158598612037283,0.9000767110400203,0.9554916475324008,-0.3734329385803167,0.4721555456436885,0.1570015802685893,0.06751726050136529
15,4.580842287876171,4.379474147944739,3.036239401596185,3.1821973015275637,1.2608980937729526,-1.2441046332836876,-0.4487859533572134,0.20644649103388743,0.42165824595004614,0.4012418795211153,0.856289596209222,0.9308512231931603,-0.34510561632736986,0.4101198398346387,0.17858022582857294,0.06720310214418179
16,4.745876984391005,4.417214700538621,3.1090325020640512,3.162927841798239,1.3090176570891943,-1.2428512078188672,-0.4430706386435495,0.2084507022120656,0.36257654622100655,0.3690552157249727,0.8339863686480904,0.899798453908557,-0.39319629971312337,0.4391265010749682,0.22615662784045748,0.0745601336037416
