"subj_code","age","gender","handedness","comments"
"ghjkywTlFHO7","37","female","righthanded",""
"IYn6e3EvQMZH","47","female","righthanded",""
"oi0p9Pof7j6K","51","female","righthanded","none"
"rCh6YAhFCD0M","43","male","lefthanded",""
"SBaAFSKoP93Q","49","female","righthanded",""
"Fs7pwPNARq88","43","another identity","righthanded","This was interesting but the grey background with the colours made my eyes hurt a lot Just thought you should know that"
"SHDA7qYmICei","44","female","righthanded",""
"ZYLNbj2y9IH3","50","female","righthanded",""
"s3dfXEkl8Bng","51","female","righthanded",""
"zjFp77bwJ1vt","43","male","lefthanded",""
"56gOuNUNKw0R","47","male","righthanded",""
"Aszf5eWnqYyS","43","male","righthanded",""
"VeJkjsq2w32d","42","female","righthanded",""
"wt59hMsjZNGI","43","female","righthanded",""
"PJlCUQdGkjrg","49","male","righthanded",""
"KrL290dKJEcg","46","male","righthanded","Seemed to take longer than suggested"
"wMVAEplzdQTP","40","male","righthanded",""
"aWNusznQFVmT","50","female","righthanded","none"
"Bow3oDyo1ze1","44","female","righthanded",""
"jSp79ydaSHxs","40","female","righthanded",""
"oDo6YkHxGmjP","45","male","righthanded",""
"zcVs08nOJJkd","47","female","righthanded",""
"m4vRrjgh4nCU","51","female","lefthanded","I enjoyed this experiment"
"x90WakCLHiWm","45","male","righthanded","no"
"G6hrcfJDdzzz","41","female","righthanded",""
"eDeInvp3MHgO","51","male","righthanded",""
"x89UebKQqRhF","41","female","righthanded",""
"rUPaNLq750dd","47","female","lefthanded",""
"VcoaIJkorQBm","47","male","righthanded","Interesting  thanks "
"7rEwK0Ayyifj","48","male","righthanded",""
"bVcpsjQimbHq","41","male","righthanded",""
"kmpeZyy9Nfpa","44","male","righthanded",""
"7e4Ved4snrqu","48","female","righthanded","no"
"JXBgGp9tCcBL","42","male","righthanded",""
"p4T4CurMyDYz","48","female","righthanded",""
"A2U0lBwXgdke","47","male","righthanded",""
"rHLSygoswbgV","42","female","righthanded",""
"vLDpBNsolzCR","48","female","lefthanded",""
"k3ZOYzsDzgTA","43","female","lefthanded",""
"aOCEDdTgDCfE","49","female","ambidextrous",""
"AXE6RepseWoZ","43","female","ambidextrous",""
"ciu9VCre2EuL","41","female","lefthanded",""
"OTdEWZFVz1QJ","50","female","righthanded",""
"1JsE3vZYJ1kg","44","male","righthanded",""
"NsS8KDouaEdL","42","female","righthanded",""
"RSXhywDXwo1T","45","male","righthanded",""
"kBNA88FPKU35","40","male","righthanded",""
"ySEJp35oKeI1","38","female","righthanded",""
"JxQEy23TMfd6","44","female","lefthanded",""
"rL6qqYSgPytq","46","male","righthanded",""
"ehLl9aghvveh","43","male","righthanded",""
"Gq5bkTKYrvrh","42","male","righthanded",""
"Q3BORaFbsiM4","45","male","righthanded","NA"
"S6toRa4AQvtk","50","male","righthanded",""
"q9edbqM25EeQ","42","male","lefthanded","fantastic study"
"qw3jlxzTMjMG","41","male","righthanded",""
"ShnSELTg2J8P","41","female","righthanded",""
"dd7CuZO8UIxg","51","male","righthanded","The study was good No questions at this time Thank you"
"NPmoqg5Etl4U","42","male","righthanded","no Thank you"
"F4tfLmjtRVyH","42","male","ambidextrous","none thank you"
"waM9cFlFqBy1","40","female","righthanded",""
"NS1naWT6nlOk","52","female","lefthanded",""
"zWlomtR1JXXK","60","female","righthanded","no"
"snBQwP49IP4T","54","female","righthanded","No comments"
"RvZ6pPZWpwBr","63","male","righthanded","I was annoyed that I made a couple of mistakes"
"okP3XqEil2JX","52","female","righthanded",""
"ycXRu0H8U30S","53","female","righthanded",""
"wZLHENL1u8Pp","52","female","righthanded",""
"8DasdvscOnZH","60","male","righthanded",""
"JJlSQ0unAA12","53","female","righthanded",""
"WNf4UfxzTrx3","56","male","righthanded",""
"tmSqI7GBOgNw","63","female","righthanded",""
"LxO3sXs6w1cD","53","female","righthanded",""
"q7Enzo5xhVnw","56","male","righthanded",""
"dWhzBOAiAILA","55","female","righthanded","No"
"RZiYIoGOGrsp","52","female","righthanded",""
"LwJijKAO5SL3","55","male","righthanded",""
"ZrEF29W8346p","55","male","righthanded",""
"GKGKvuCZYbEd","62","female","righthanded",""
"ESRIcpEs3LNC","57","male","righthanded","No"
"m1LUUKvNSXP2","64","male","righthanded",""
"SOjVPjHj1792","53","male","righthanded",""
"eZ0ijJyWutYM","61","female","righthanded",""
"Ko4nOvsrx7vZ","57","male","righthanded",""
"a0MjsXf6SypD","52","male","righthanded","no"
"2tBQSrGCwDcA","59","female","righthanded",""
"8uRscyMhi15C","53","female","righthanded",""
"AIRwviQRlBm7","62","female","righthanded","It made my heart race increase during the colours sections"
"ahwNAgi4MqFJ","56","female","ambidextrous","I knew when I made a mistake but it went so fast I was able to follow the strict rule even though I disagreed in principle"
"fFwV6rxhs9MM","62","male","righthanded","Fun thanks"
"PVmhIAirN5dZ","60","female","righthanded",""
"0dKLhxO7HLIg","57","male","righthanded",""
"7VFalRgg47wt","61","male","righthanded",""
"YQmHwnaGslEc","54","male","lefthanded",""
"MRNxFAYVPWNb","35","female","righthanded",""
"b4LSaAgkBnpe","60","female","righthanded","I really enjoyed this study it was fun"
"z2NouFWkFcYT","52","female","righthanded",""
"7LbA6u1O0epF","63","female","righthanded","I really enjoyed this study and hope my input was helpful"
"T1B4kprlpwjX","58","male","righthanded","no"
"CrA5Y6zHDr6q","53","female","righthanded",""
"iKcdKm3ERLMI","58","male","righthanded","i was aware too late that i made errors "
"cJqlDzjwWBTL","59","male","lefthanded",""
"BU1wSaAsbGKN","59","male","righthanded","Nil"
"UE3FTa1HFzma","53","female","lefthanded","Study too long and too much repititions"
"cJNpkwdTrvak","54","female","righthanded","none"
"blC1BDMbpL5o","63","female","righthanded",""
