"subj_code","age","gender","handedness","comments"
"2ROvGgJjyPdb","30","male","righthanded",""
"HgPT4vYYjUH5","49","male","lefthanded",""
"lg94UcVigYdK","24","male","righthanded",""
"SJpAwYjxnD0G","23","male","righthanded",""
"28O8p0CLbIYj","35","female","righthanded",""
"ZG2JcA1PmUFM","68","male","righthanded",""
"VWZaH2t39iOu","38","male","righthanded","I realised I got some wrong immediately after reacted too quickly"
"fryTWjECpTEt","41","male","righthanded",""
"cUUiNu5bXyGR","26","male","righthanded",""
"j5g1s53kzqAL","25","male","righthanded","Amazing study looking forward for more"
"j0IFsGF46tP7","52","male","righthanded","no"
"ynZ8k8vSaxC7","47","male","righthanded",""
"Aoxie8FxuKar","51","male","righthanded",""
"YU2rHYR5lcwL","32","male","righthanded",""
"MTa164diZl7z","28","male","righthanded","No"
"kuZLb3XjH90P","28","male","righthanded",""
"24iUPVZuxzHT","32","male","lefthanded",""
"6sNS4Iq8KDc6","54","male","lefthanded","Got harder towards the end made some mistakes I think Not sure if that was deliberate on your part"
"7LAqK8BPJeFn","34","female","righthanded",""
"Ole96vL23QzP","27","female","righthanded",""
"EHQkkAWBklwa","24","male","lefthanded",""
"PzYyC1oSwkzg","28","female","righthanded",""
"3SOnNhmBqDzr","51","female","righthanded",""
"VVMYIiK7lhrl","29","female","righthanded","I wish I had answered some differently  At first I was going off what I considered ok as a stretch of the rules but towards the end I was very literal even if I believed that the reason someone was breaking the rules was ok "
"tv81EEewwnhQ","25","female","righthanded",""
