,a,v(full violation),v(no violation),v(purpose violation),v(text violation),t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
0,3.4010535532245845,0.9807488381975753,-1.0321110671895815,-0.5334020568194496,0.2122383339762373,0.6656311695045695,0.6770459141407424,0.6837056443529052,0.8536833900103648,-0.2719333019998812,0.2838986870405658,0.2907122797049475,0.07209441397860383
1,3.419602596799018,0.9672268284262235,-1.0285785205792677,-0.5398405684080153,0.20343093196356982,0.6917276328452797,0.6457393725863638,0.671576357683941,0.8266301023858122,-0.20540625207223828,0.2981242318967511,0.3463668295076593,0.07210017085836784
2,3.3988074428657598,0.9961418396243517,-1.0251856555838081,-0.5268132549653399,0.18407729020036273,0.647659973424918,0.6602783257152645,0.7137842036944402,0.835626315227807,-0.29729457382371094,0.2932264248344879,0.3273744428655232,0.10905205786108231
3,3.4178355567484267,1.0011249266934523,-1.088441900993492,-0.5283795871635509,0.23008073929007208,0.675673699204718,0.6792206286797725,0.6916304545604133,0.8360572099175577,-0.2138234554744522,0.36077999802617877,0.3204741627972467,0.06546377192064069
4,3.4033252901365714,0.9832277810732959,-1.0579185416908856,-0.5329173331746168,0.22974548284220572,0.6468648322581835,0.6302155802983902,0.690153532733728,0.873525272833539,-0.26503031655053816,0.3932684767882136,0.29088012370351984,0.028690768964504856
5,3.4250365982772166,1.0151498187593984,-1.040103674577108,-0.5241075980957031,0.20436774480208417,0.653231594964881,0.6899526249559481,0.6947741643638289,0.7982875711303618,-0.2771511524111312,0.2832062314195591,0.29652204376741453,0.08705124929842542
6,3.4396761697963476,0.9856967797759086,-1.0657048979479566,-0.5436171173935327,0.2517298925234497,0.6523916182985198,0.6540003634586099,0.6836383832730877,0.8537162987427772,-0.259531320031408,0.33223900075937524,0.36793407437864295,0.005910757835303634
7,3.422528696981984,0.9826893745210306,-1.0606162201696119,-0.5246857742575216,0.24566316717717535,0.6810621549738555,0.6613821856511071,0.6845934865066925,0.8588017341846855,-0.18395365071578007,0.3437005662520665,0.2972184890064187,0.02313209639092969
8,3.431210237895646,0.9781730419516165,-1.0529009791368,-0.5569042222815559,0.23244076282553644,0.6586267314699099,0.6440064943130247,0.6801788101766005,0.83590017782771,-0.23008956359859606,0.3510297626294629,0.3139440358767984,0.07646737979566136
9,3.4042678280245466,0.9956496222623228,-1.0450571557174546,-0.5507958222732577,0.21407552317152323,0.6771039546311304,0.6538263659785353,0.7191811725607486,0.8409816606506246,-0.2662367928234636,0.31144715049487165,0.3053775194738787,0.05302097839378596
10,3.395550988098847,0.9559911071670193,-1.0392491892881612,-0.5384965950335305,0.2205301667917641,0.6625643194740976,0.6715952735714364,0.7043496646901088,0.8347756319007688,-0.2523644015343237,0.31342909423162446,0.31893361023695366,0.06742638802651772
11,3.4075020280072787,1.0063924827281459,-1.0661220474699002,-0.5415874483845501,0.21468026737419335,0.6585045765844955,0.6890847493362134,0.70550836690424,0.8062717460875118,-0.26929072463879844,0.2889124836854599,0.3066926923232447,0.04819126168926709
12,3.426387489549676,0.9734456437079717,-1.0271432314135098,-0.5185787334098197,0.25231380938002523,0.6653010391752319,0.6617021541542683,0.715953303720785,0.8770709017367466,-0.25615340230197714,0.3196522002785326,0.32324082719829655,0.010930560633635185
13,3.4401232058326197,1.0110834088512355,-1.0574616670344135,-0.5440829252607244,0.2486461089339732,0.648083643000566,0.6597086817710996,0.6662688739792869,0.8165478436907407,-0.2870116045270644,0.3218539414657703,0.3802624767585083,0.029892650423755742
14,3.424060182092379,1.002561132778837,-1.0418040478229131,-0.5079736942634681,0.18554632128849158,0.6665366103885115,0.6634323435655015,0.6903192165112507,0.8331168321540348,-0.2853001518471491,0.33397180829497053,0.33046429450306625,0.12314120414155888
15,3.390228321493587,0.9816106512666128,-0.9967621731700346,-0.4690808387711411,0.23399662701469676,0.6685589270384099,0.6588106928065051,0.6999704540070071,0.8344349983631498,-0.2634232873841279,0.2977280500943353,0.21576330302141167,0.010387154876532655
16,3.4331099706133177,0.9682804177853959,-1.0540661897110006,-0.4954915862427184,0.24138407493215253,0.6618735320621112,0.6989828933266411,0.6925230761114607,0.823949529782755,-0.2676919718592552,0.29480654149646435,0.2183614338948947,0.007775013417602913
17,3.4168715881887786,0.9301688792059106,-1.0375427979001461,-0.48859883786338804,0.20533262890080725,0.6621351817903479,0.6736224925082802,0.6746092418941183,0.8390385639889152,-0.21115552360621018,0.3160139774054252,0.27220026674720077,0.08774649591310925
18,3.4261980436221426,0.9416988320497071,-1.0754126500282957,-0.526975437341399,0.1836639953862312,0.6787824494535536,0.6637868702014451,0.6780854492849162,0.8447277016658205,-0.19501028908393125,0.36453953179780174,0.3231517225716206,0.11683386795554865
19,3.38180481365432,0.9519720405174317,-1.030322501840772,-0.5074566004270814,0.213707194885773,0.6426830478996709,0.6649279304878248,0.6846248392945475,0.8690074081022776,-0.25595392199155154,0.30220768406254533,0.32499536122426986,0.10729200599585213
20,3.4197881417436937,0.9984435743271063,-1.0800751351072786,-0.5268092830452377,0.2055376156408423,0.6802833693184928,0.6718158733128984,0.6798301606863311,0.8538971812972304,-0.22835433834141622,0.32961279143714406,0.3001093510018824,0.09143909021607052
21,3.4701314778824077,0.9911333593575562,-1.0625078920524016,-0.5547214632526103,0.21945373307909732,0.6416097305619847,0.6418328494156393,0.671275825826055,0.811120489202173,-0.27811352529916133,0.3323569170731589,0.34386968023238706,0.10065927572643049
22,3.424091839472567,1.0159100945503965,-1.0380130269086594,-0.5781996213867046,0.21236069759358625,0.6556029806751419,0.6465017708477572,0.701045377227407,0.84524199357732,-0.30546805408495803,0.35511215912474114,0.3554789382151359,0.11435116971717671
23,3.44329043697996,0.962221595073973,-1.0401037414665486,-0.5297447975237455,0.19589105409729005,0.6656979910512109,0.6531664928223251,0.6945780229493038,0.83913104940891,-0.19667990641326025,0.33988083167059735,0.2546262461966589,0.06561556796248952
24,3.4623445190697177,0.9713705556926393,-1.0530693130439157,-0.5656806456261526,0.21463290976957752,0.6472329516005958,0.6827863071455241,0.6563534172110534,0.838431491440988,-0.25632581743561567,0.28721293340616066,0.3817404274757287,0.08158378909702657
25,3.394793860030728,0.9766124970173736,-1.063077139577457,-0.49390197220038534,0.19945673662455787,0.6651072600077359,0.6629186774484478,0.6880777643563882,0.8784144720192327,-0.3044122751918074,0.3191709828324393,0.22758198663337703,0.12848193435337235
26,3.4165333321833415,0.9853679967636344,-1.0776157167999687,-0.4991395351097926,0.19701413145589422,0.6466632301912543,0.6678116458644553,0.6896308719463695,0.8391010556330231,-0.254434769814866,0.35927839978475995,0.2568544390548795,0.12198008573047639
27,3.4446859967909926,0.9959746647184995,-1.0408961978053837,-0.4835576049120389,0.19630551716295952,0.6826254258384351,0.6512740448200888,0.705296165822905,0.7978834086305023,-0.23320679030555255,0.3324054382943801,0.18727268541621306,0.07960699552522252
28,3.4478309967831997,1.0082979565186279,-1.0504851574061518,-0.5072753011397252,0.19383001195783395,0.6574570819285335,0.6335485662385754,0.6868735115751974,0.864466473366906,-0.2544153249840714,0.35170758070609387,0.24330343036956759,0.08864995230887428
29,3.4051751630585696,0.9631715491956452,-1.0798862755708736,-0.5394371349745125,0.1976380275245111,0.6603997678751269,0.6317174440586627,0.6776002626607714,0.8794087189875079,-0.25038712136338187,0.3889871766305062,0.3507666838524271,0.10991849473168862
30,3.4290978577141518,0.9469053294974981,-1.074479676223221,-0.5414541740273142,0.20171237776178136,0.6902146895637847,0.6811007635435898,0.6775306877745567,0.8247833235213827,-0.17063379956860433,0.32461954029844725,0.3167844479956908,0.07282145291178999
31,3.4151306526488145,1.0099849539218488,-1.0568637765465114,-0.5074414274036961,0.2184825697615378,0.6512076007849869,0.6599098789334141,0.6867156994588258,0.8336630113474061,-0.30932904119036053,0.33917739143404885,0.2402147614552045,0.05644318051648836
